id;modalidad_permiso;created_at;updated_at
3595;radioaficionado;2016-02-16 17:04:39.283;2016-02-16 17:04:39.283
3597;radiocomunicacion_banda_angosta;2016-02-16 17:22:56.143;2016-02-16 17:22:56.143
3598;radiocomunicacion_banda_angosta;2016-02-16 17:34:02.787;2016-02-16 17:34:02.787
3599;radiocomunicacion_banda_aeronautica;2016-02-16 17:37:15.537;2016-02-16 17:37:15.537
3601;radioaficionado;2016-02-16 18:05:19.243;2016-02-16 18:05:19.243
3602;radiocomunicacion_banda_angosta;2016-02-16 18:06:51.743;2016-02-16 18:06:51.743
3603;radioaficionado;2016-02-16 19:23:19.500;2016-02-16 19:23:19.500
3605;radiocomunicacion_banda_angosta;2016-02-16 19:44:09.847;2016-02-16 19:44:09.847
3606;radiocomunicacion_banda_angosta;2016-02-16 19:51:00.317;2016-02-16 19:51:00.317
3607;radioaficionado;2016-02-16 19:56:54.053;2016-02-16 19:56:54.053
3608;radiocomunicacion_banda_angosta;2016-02-16 20:05:34.427;2016-02-16 20:05:34.427
3609;radioaficionado;2016-02-16 20:06:57.943;2016-02-16 20:06:57.943
3611;radioaficionado;2016-02-16 20:08:51.490;2016-02-16 20:08:51.490
3612;radiocomunicacion_banda_angosta;2016-02-16 20:13:50.617;2016-02-16 20:13:50.617
3613;radioaficionado;2016-02-16 20:15:28.680;2016-02-16 20:15:28.680
3614;radiocomunicacion_banda_angosta;2016-02-16 20:16:09.993;2016-02-16 20:16:09.993
3615;radiocomunicacion_banda_angosta;2016-02-16 20:30:11.917;2016-02-16 20:30:11.917
3616;radiocomunicacion_banda_angosta;2016-02-16 20:35:31.977;2016-02-16 20:35:31.977
3617;radiocomunicacion_banda_aeronautica;2016-02-16 20:38:34.980;2016-02-16 20:38:34.980
3618;radioaficionado;2016-02-16 20:40:53.543;2016-02-16 20:40:53.543
3619;radiocomunicacion_banda_angosta;2016-02-16 20:45:58.980;2016-02-16 20:45:58.980
3620;radiocomunicacion_banda_angosta;2016-02-16 20:58:33.607;2016-02-16 20:58:33.607
3622;radioaficionado;2016-02-16 21:51:35.533;2016-02-16 21:51:35.533
3623;radiocomunicacion_banda_angosta;2016-02-17 14:13:23.307;2016-02-17 14:13:23.307
3624;radiocomunicacion_banda_angosta;2016-02-17 14:20:28.997;2016-02-17 14:20:28.997
3625;radiocomunicacion_banda_aeronautica;2016-02-17 14:25:37.870;2016-02-17 14:25:37.870
3626;radiocomunicacion_banda_angosta;2016-02-17 14:33:57.260;2016-02-17 14:33:57.260
3627;radiocomunicacion_banda_angosta;2016-02-17 14:40:27.717;2016-02-17 14:40:27.717
3628;radiocomunicacion_banda_aeronautica;2016-02-17 14:45:11.293;2016-02-17 14:45:11.293
3629;radiocomunicacion_banda_angosta;2016-02-17 14:51:47.687;2016-02-17 14:51:47.687
3630;radiocomunicacion_banda_angosta;2016-02-17 14:56:06.717;2016-02-17 14:56:06.717
3631;radioaficionado;2016-02-17 15:05:40.017;2016-02-17 15:05:40.017
3632;radioaficionado;2016-02-17 15:14:35.877;2016-02-17 15:14:35.877
3633;radioaficionado;2016-02-17 15:22:35.690;2016-02-17 15:22:35.690
3634;radioaficionado;2016-02-17 15:33:09.533;2016-02-17 15:33:09.533
3635;radiocomunicacion_banda_angosta;2016-02-17 15:48:23.863;2016-02-17 15:48:23.863
3636;radiocomunicacion_banda_angosta;2016-02-17 15:59:20.223;2016-02-17 15:59:20.223
3637;radioaficionado;2016-02-17 16:00:43.210;2016-02-17 16:00:43.210
3638;radioaficionado;2016-02-17 16:08:42.680;2016-02-17 16:08:42.680
3639;radiocomunicacion_banda_angosta;2016-02-17 16:11:31.757;2016-02-17 16:11:31.757
3640;radiocomunicacion_banda_angosta;2016-02-17 16:19:18.493;2016-02-17 16:19:18.493
3641;radioaficionado;2016-02-17 16:22:32.023;2016-02-17 16:22:32.023
3642;radiocomunicacion_banda_angosta;2016-02-17 16:27:55.603;2016-02-17 16:27:55.603
3643;radiocomunicacion_banda_angosta;2016-02-17 16:34:10.603;2016-02-17 16:34:10.603
3644;radioaficionado;2016-02-17 16:36:27.087;2016-02-17 16:36:27.087
