id;precio_interconexion;created_at;updated_at;acuerdo_acceso_interconexions_id;sci_servicios_id;servicio
299;18.00;2016-03-18 20:53:46.003;2016-03-18 20:53:46.003;61;18;Precio por minuto en colones: Uso de red móvil para originación de tráfico
300;4.00;2016-03-18 20:53:46.003;2016-03-18 20:53:46.003;61;18;Precio por minuto en colones: Uso de red fija para terminación internacional de tráfico
301;18.00;2016-03-18 20:53:46.003;2016-03-18 20:53:46.003;61;18;Precio por minuto en colones: Uso de red móvil para terminación internacional de tráfico:
302;6.00;2016-03-18 20:53:46.003;2016-03-18 20:53:46.003;61;18;Precio por minuto en colones: Uso de red fija para tránsito nacional ( cargo adicional a las terminaciones de la red móvil del ICE para llamadas nacionales e internacionales)
303;3.00;2016-03-18 20:53:46.003;2016-03-18 20:53:46.003;61;18;Precio por minuto en colones: Uso de la red de Amnet para terminación de tráfico
304;NULL;2016-04-01 17:33:30.157;2016-04-01 17:33:30.157;62;NULL;Canal de Video RF de GPON de JASEC/Televisora de Costa Rica S.A. Fibra Óptica.
305;NULL;2016-04-01 21:30:28.950;2016-04-01 21:30:28.950;63;NULL;CONTRATO DE PRESTACIÓN DEL SERVICIO DE ACCESO DE BANDA ANCHA MEDIANTE LA RED FTTH GPON PROPIEDAD DE JASEC Y CABLETICA
306;4.68;2016-04-04 15:08:01.303;2016-04-04 15:08:01.303;64;18;xxxxxxxxxxxxxxxx
322;NULL;2016-08-18 21:54:25.060;2016-08-18 21:54:25.060;70;18;Tráfico telefónico en las redes nacionales (Precios indicados en el Anexo #2 del Contrato)
323;NULL;2016-08-18 21:54:25.060;2016-08-18 21:54:25.060;70;18;Activación de los enlaces (Precios indicados en el Anexo #2 del Contrato)
324;NULL;2016-08-18 21:54:25.060;2016-08-18 21:54:25.060;70;18;Enlaces E1 y POI (Precios indicados en el Anexo#2 del Contrato)
331;NULL;2016-08-19 15:39:19.297;2016-08-19 15:39:19.297;73;18;Tráfico telefónico en las redes nacionales (Precios indicados en el Anexo #2 del Contrato Principal)
332;NULL;2016-08-19 15:39:19.310;2016-08-19 15:39:19.310;73;18;Activación de los enlaces (Precios indicados en el Anexo #2 del Contrato Principal)
333;NULL;2016-08-19 15:39:19.310;2016-08-19 15:39:19.310;73;18;Enlaces E1 y POI (Precios indicados en el Anexo#2 del Contrato Principal)
334;12.00;2016-09-12 15:09:49.353;2016-09-12 15:09:49.353;74;18;ACCESO INDIRECTO AL BUCLE DE FIBRE EN REDES FTTH PUNTO MULTIPUNTO DE ESPH, MODALIDAD RADIO FREQUENCY OVER GLASS (RFOG) DE 0 a 5000 $
335;11.00;2016-09-12 15:09:49.387;2016-09-12 15:09:49.387;74;18;ACCESO INDIRECTO AL BUCLE DE FIBRE EN REDES FTTH PUNTO MULTIPUNTO DE ESPH, MODALIDAD RADIO FREQUENCY OVER GLASS (RFOG) DE 5001 a 10000 $
336;9.50;2016-09-12 15:09:49.387;2016-09-12 15:09:49.387;74;18;ACCESO INDIRECTO AL BUCLE DE FIBRE EN REDES FTTH PUNTO MULTIPUNTO DE ESPH, MODALIDAD RADIO FREQUENCY OVER GLASS (RFOG) Más a 10000 $
337;12.00;2016-09-12 15:41:43.407;2016-09-12 15:41:43.407;75;18;ACCESO INDIRECTO AL BUCLE DE FIBRE EN REDES FTTH PUNTO MULTIPUNTO DE ESPH, MODALIDAD RADIO FREQUENCY OVER GLASS (RFOG) DE 0 a 5000 $
338;11.00;2016-09-12 15:41:43.407;2016-09-12 15:41:43.407;75;18;ACCESO INDIRECTO AL BUCLE DE FIBRE EN REDES FTTH PUNTO MULTIPUNTO DE ESPH, MODALIDAD RADIO FREQUENCY OVER GLASS (RFOG) DE 5001 a 10000 $
339;9.50;2016-09-12 15:41:43.420;2016-09-12 15:41:43.420;75;18;ACCESO INDIRECTO AL BUCLE DE FIBRE EN REDES FTTH PUNTO MULTIPUNTO DE ESPH, MODALIDAD RADIO FREQUENCY OVER GLASS (RFOG) Más a 10000 $
343;3500.00;2016-09-27 14:58:45.463;2016-09-27 14:58:45.463;77;18;Servicio de Arrendamiento operativo de bienes de telecomunicaciones (Dólares)
344;7950.00;2016-09-27 14:58:45.463;2016-09-27 14:58:45.463;77;18;Costo Mensual 100 Mb (Dólares)
345;550.00;2016-09-27 14:58:45.463;2016-09-27 14:58:45.463;77;18;Costo Mensual de Respaldo Inalámbrico 1000Mb (Dólares)
346;NULL;2017-01-06 21:44:34.327;2017-01-06 21:44:34.327;78;18;Un enlace Metro Ethernet de 45 Mbps vía fibra óptica desde el nodo de RACSA ubicado en el ICE en Desamparadosm hasta el nodo de TELECABLE  ubicado en Desamparados 225 metros este del Banco Nacional de Costa Rica, enlace que se utilizará para tráfico desde y hacia internet
347;NULL;2017-01-31 17:21:47.427;2017-01-31 17:21:47.427;79;6;Tráfico telefónico de larga distancia internacional suscrito entre el ICE y E-DIAY S.A.
